diff_within_minus_naive,precision_within,precision_naive
0.009999999999999995,0.076,0.066
0.0,0.11,0.11
0.032,0.114,0.082
-0.008000000000000007,0.192,0.2
-0.008,0.056,0.064
0.020000000000000004,0.13,0.11
-0.008,0.05,0.058
0.009999999999999995,0.118,0.108
-0.018000000000000002,0.046,0.064
0.018000000000000016,0.136,0.118
0.011999999999999997,0.126,0.114
0.034000000000000016,0.136,0.102
-0.008000000000000007,0.16,0.168
0.01200000000000001,0.116,0.104
0.020000000000000004,0.126,0.106
0.0059999999999999915,0.074,0.068
0.0040000000000000036,0.09,0.086
-0.0020000000000000018,0.13,0.132
-0.011999999999999983,0.134,0.146
0.006000000000000005,0.134,0.128
-0.0059999999999999915,0.068,0.074
0.018000000000000002,0.124,0.106
0.025999999999999995,0.124,0.098
-0.016000000000000014,0.142,0.158
0.014000000000000012,0.136,0.122
0.025999999999999995,0.11,0.084
0.018000000000000002,0.13,0.112
-0.006000000000000005,0.134,0.14
0.041999999999999996,0.108,0.066
0.006000000000000005,0.136,0.13
-0.006000000000000005,0.074,0.08
-0.0059999999999999915,0.066,0.072
0.025999999999999995,0.122,0.096
0.006000000000000005,0.132,0.126
0.020000000000000004,0.1,0.08
0.006000000000000005,0.14,0.134
0.02600000000000001,0.112,0.086
0.013999999999999999,0.102,0.088
-0.013999999999999999,0.046,0.06
-0.032,0.158,0.19
0.0020000000000000018,0.13,0.128
0.0020000000000000018,0.098,0.096
0.018000000000000002,0.11,0.092
-0.0040000000000000036,0.104,0.108
0.022000000000000006,0.108,0.086
0.020000000000000004,0.096,0.076
0.011999999999999983,0.152,0.14
0.013999999999999999,0.12,0.106
0.017999999999999988,0.148,0.13
0.018000000000000002,0.106,0.088
-0.010000000000000002,0.044,0.054
0.0,0.1,0.1
0.001999999999999988,0.072,0.07
-0.006000000000000005,0.072,0.078
-0.0020000000000000018,0.076,0.078
-0.048000000000000015,0.144,0.192
-0.023999999999999994,0.136,0.16
-0.023999999999999994,0.138,0.162
-0.0020000000000000018,0.08,0.082
0.025999999999999995,0.108,0.082
0.014000000000000012,0.116,0.102
0.03399999999999999,0.104,0.07
0.020000000000000004,0.106,0.086
0.03199999999999999,0.102,0.07
-0.038000000000000006,0.142,0.18
0.0020000000000000018,0.146,0.144
0.036000000000000004,0.136,0.1
0.0,0.078,0.078
0.0,0.118,0.118
0.020000000000000004,0.1,0.08
-0.006000000000000005,0.126,0.132
0.018000000000000002,0.116,0.098
-0.0040000000000000036,0.076,0.08
0.013999999999999999,0.106,0.092
0.032,0.076,0.044
0.0,0.136,0.136
-0.009999999999999981,0.138,0.148
0.0,0.138,0.138
0.025999999999999995,0.12,0.094
0.016000000000000014,0.136,0.12
-0.013999999999999999,0.096,0.11
0.025999999999999995,0.126,0.1
-0.0040000000000000036,0.13,0.134
0.022000000000000006,0.13,0.108
-0.008000000000000007,0.13,0.138
0.024000000000000007,0.116,0.092
0.01200000000000001,0.1,0.088
-0.0020000000000000018,0.098,0.1
-0.034,0.146,0.18
0.024000000000000007,0.138,0.114
-0.018000000000000016,0.148,0.166
0.009999999999999981,0.148,0.138
0.025999999999999995,0.12,0.094
0.009999999999999981,0.142,0.132
0.008,0.06,0.052
0.005999999999999978,0.146,0.14
-0.03,0.122,0.152
0.0059999999999999915,0.086,0.08
-0.006000000000000005,0.122,0.128
0.00399999999999999,0.118,0.114
-0.0040000000000000036,0.13,0.134
0.011999999999999997,0.078,0.066
0.009999999999999995,0.126,0.116
0.023999999999999994,0.12,0.096
